	Mean_cyto	Mean_total	log2FoldChange	lfcSE	pvalue	padj
FBgn0023517	2580.159113	609.1946341	2.076333854	0.072304254	2.3661E-181	1.3652E-179
FBgn0024321	897.6730891	113.1705447	2.965727742	0.103543182	1.9921E-180	1.1441E-178
FBgn0052207	5128.000736	558.1474948	3.18289922	0.111268686	5.7355E-180	3.279E-178
FBgn0038446	804.126579	126.6546947	2.655029146	0.092833212	6.7202E-180	3.8244E-178
FBgn0033912	91479.86993	17972.44565	2.341569978	0.081892018	8.1198E-180	4.5999E-178
FBgn0001308	846.9364082	3198.633012	-1.909045958	0.066845743	2.1732E-179	1.2255E-177
FBgn0052425	4665.570373	1707.189706	1.445965378	0.050671528	4.1845E-179	2.3492E-177
FBgn0011741	4133.226353	995.9007932	2.047813427	0.071774393	4.7994E-179	2.6823E-177
FBgn0020370	448.4544125	2018.769886	-2.162652745	0.075822941	6.1792E-179	3.438E-177
FBgn0015542	8190.715302	1630.13742	2.316341471	0.081241355	8.3524E-179	4.6265E-177
FBgn0037899	3987.379127	1199.607774	1.730464811	0.060720537	1.2109E-178	6.6776E-177
FBgn0038043	1244.470451	283.1671501	2.127163282	0.074834363	9.9429E-178	5.459E-176
FBgn0051992	2003.69593	6074.128	-1.596741875	0.056226548	2.1185E-177	1.158E-175
FBgn0051125	746.4465058	91.01801253	3.013214634	0.106247892	6.2603E-177	3.4071E-175
FBgn0004198	10521.61658	3021.894331	1.793633364	0.063294462	1.1793E-176	6.3901E-175
FBgn0034365	1069.990549	227.3042429	2.225466459	0.078655309	4.1064E-176	2.2155E-174
FBgn0011284	82145.14977	21175.89443	1.952200749	0.069077921	1.0471E-175	5.6252E-174
FBgn0086690	1237.450048	3365.740156	-1.439899896	0.05101391	2.8347E-175	1.5163E-173
FBgn0038678	903.2953128	119.9126197	2.892477952	0.102486141	3.0439E-175	1.6212E-173
FBgn0020622	2823.457017	7836.699036	-1.470709084	0.052110944	3.0838E-175	1.6355E-173
FBgn0026088	1700.869548	379.4825073	2.160397323	0.076590794	4.7973E-175	2.5334E-173
FBgn0002732	738.2707905	77.05228574	3.229838895	0.114540675	6.1554E-175	3.2369E-173
FBgn0037135	27199.82966	8130.460876	1.738739088	0.061691087	9.0296E-175	4.7284E-173
FBgn0041588	4541.750301	1041.169011	2.119207616	0.075213676	1.1568E-174	6.0322E-173
FBgn0016983	350.7963739	1856.47851	-2.396159498	0.085044739	1.1748E-174	6.1004E-173
FBgn0005533	40155.92366	7938.311738	2.332483951	0.082857146	2.3517E-174	1.2162E-172
FBgn0004603	785.0381278	2849.008265	-1.853396098	0.06592318	6.5169E-174	3.3562E-172
FBgn0034877	3632.548235	1249.210183	1.537638663	0.054695544	6.855E-174	3.5158E-172
FBgn0023521	1359.552225	351.0694769	1.951015666	0.069409875	7.6865E-174	3.9261E-172
FBgn0032050	452.0623759	1959.054365	-2.109309992	0.075221293	5.0864E-173	2.5874E-171
FBgn0027620	548.375575	2014.917272	-1.871044776	0.066739561	6.0836E-173	3.0821E-171
FBgn0036173	3560.495485	881.2855181	2.009323639	0.071726253	1.1039E-172	5.5702E-171
FBgn0033177	3460.390794	1190.939391	1.537558123	0.055043691	1.0485E-171	5.2693E-170
FBgn0040228	1452.950552	352.0326305	2.03933054	0.073278723	1.8928E-170	9.4737E-169
FBgn0030174	925.3638106	50.56556252	4.144757424	0.148960028	2.1847E-170	1.0848E-168
FBgn0263231	1007.719053	3654.204651	-1.853579632	0.06661631	2.1797E-170	1.0848E-168
FBgn0027791	6153.143204	1219.352422	2.325895253	0.083600635	2.3835E-170	1.1788E-168
FBgn0039111	1172.370359	239.3436626	2.284499772	0.082345599	2.1267E-169	1.0476E-167
FBgn0039182	290.3851178	1887.299424	-2.694604501	0.097277564	6.9504E-169	3.4104E-167
FBgn0030876	1265.70951	263.9040787	2.255948808	0.081648287	4.8433E-168	2.3671E-166
FBgn0262733	1446.36854	5294.936761	-1.86879851	0.067660598	6.3677E-168	3.1E-166
FBgn0051739	734.947197	2369.839363	-1.686819358	0.061178168	2.3952E-167	1.1616E-165
