	D17p7_A2_nuc	D17p7_B7_nuc	D17p7_B8_cyto	D17p7_A3_cyto	D17p7_B9_memb	D17p7_A4_memb	D17p7_B10_insol	D17p7_A5_insol	R2-total-depl	R1-total-depl
FBgn0000044	13.85523037	32.62333499	71.62619501	118.7725855	113.5476775	91.40827928	67.3206856	60.2428482	30.8209143	30.8209143
FBgn0000045	0	0	0	0	0	0.846372956	0	0	0	0
FBgn0000046	22.51474936	19.27742522	49.58736578	120.8935245	65.50827549	55.01424216	65.82467036	51.74706192	38.52614287	38.52614287
FBgn0000047	0	0	0	0	0	0	0	0	0	0
FBgn0000052	995.8446831	1125.505057	839.31208	839.8918545	1431.57418	1735.06456	2376.420202	2335.568884	1706.226552	1706.226552
FBgn0000053	2099.067402	2230.24981	1362.734274	1255.595904	2113.733689	2524.730529	4933.110239	4966.9456	3743.777933	3743.777933
FBgn0000054	405.2654884	348.4765328	288.3413491	252.3917441	418.3795195	415.5691215	362.035687	385.3997597	420.8981109	420.8981109
FBgn0000055	0	0	0	0	0	0	0	0	0	0
FBgn0000056	0	0	0	0	0	0	0	0	0	0
FBgn0000057	213.024167	226.880466	380.1698043	320.261793	565.1180566	631.3942254	404.6721212	434.829789	319.7669858	319.7669858
FBgn0000061	0	0	0	0	0	0	0	0	0	0
FBgn0000063	219.9517822	281.746984	176.3106339	139.9819757	237.5766791	195.5121529	242.3544682	207.7605919	151.2151108	151.2151108
FBgn0000064	4527.196525	5244.942538	5955.9936	6661.869482	9841.96331	10660.91376	16651.39758	17032.50681	10078.92055	10078.92055
FBgn0000071	7655.014781	7375.839465	6911.009534	7304.514007	5361.197266	5349.923457	4283.839627	3943.589525	6969.379245	6969.379245
FBgn0000075	81.39947845	80.0754586	132.2329754	123.0144635	100.4460224	118.4922139	174.2857749	198.4924614	156.5124554	156.5124554
FBgn0000077	335.9893366	320.3018344	574.8461292	598.1048055	403.530977	396.1025435	172.0417521	166.0540047	340.4747876	340.4747876
FBgn0000078	0	0	0	0	0.873443673	0	0	0	0	0
FBgn0000079	3.463807593	0	0	0	0.873443673	0	0	0	0.481576786	0.481576786
FBgn0000083	1740.563316	1691.964783	3070.74354	3312.906759	2610.723139	2801.494485	3612.876794	3490.995819	2980.960305	2980.960305
FBgn0000084	763.7695743	799.2717072	1698.82642	1779.467843	1220.200812	1476.920809	1819.902534	1892.243309	1439.91459	1439.91459
FBgn0000092	64.08044048	68.2124277	25.71196744	46.66065858	20.96264816	15.23471321	6.73206856	5.406409454	20.70780179	20.70780179
FBgn0000094	0	0	1.836569103	2.120939026	0.873443673	0.846372956	0.748007618	0	0	0
FBgn0000097	943.8875692	1178.888696	470.1616903	479.33222	1079.57638	1063.044433	1677.781087	1693.750848	460.8689841	460.8689841
FBgn0000099	5.19571139	4.448636589	1.836569103	4.241878053	0.873443673	0.846372956	2.992030471	2.317032623	1.444730358	1.444730358
FBgn0000100	7665.406204	7315.041431	154409.5473	154149.8484	52950.7758	57289.29266	6661.007836	6293.832949	16093.33303	16093.33303
FBgn0000108	22.51474936	13.34590977	27.54853654	10.60469513	6.987549386	6.77098365	10.47210665	8.495786285	8.668382146	8.668382146
FBgn0000109	105.6461316	87.48985292	470.1616903	511.1463054	243.6907848	221.7497145	200.4660416	203.8988708	181.0728715	181.0728715
FBgn0000114	5.19571139	8.897273178	11.01941462	14.84657319	2.62033102	2.539118869	0	0.772344208	3.852614287	3.852614287
FBgn0000115	306.546972	289.1613783	677.6939989	742.3286593	550.2695141	600.924799	706.8671988	709.0119827	535.9949627	535.9949627
FBgn0000116	25.97855695	40.0377293	56.93364219	106.0469513	65.50827549	72.78807424	53.85654848	70.28332291	41.41560358	41.41560358
FBgn0000117	5663.325415	5815.850901	5746.624723	5875.001103	10202.69555	11810.28823	14451.50718	15014.3714	10087.58893	10087.58893
FBgn0000119	2130.24167	1895.119187	361.8041133	305.4152198	404.4044207	407.105392	1012.802314	879.7000526	1325.299315	1325.299315
FBgn0000120	0	0	0	0	0	0	0	0	0	0
FBgn0000121	1.731903797	1.482878863	0	0	0	0	0	0	0	0
FBgn0000137	0	0	0	0	0	0	0	0	0	0
FBgn0000139	429.5121416	346.9936539	1008.276437	1132.58144	786.0993059	747.3473204	516.8732639	525.1940613	518.6581984	518.6581984
FBgn0000140	1692.070009	1648.961296	341.6018531	379.6480857	662.0703043	709.2605374	1813.170465	1793.38325	1286.773172	1286.773172
FBgn0000146	233.8070126	207.6030408	58.77021129	57.26535371	100.4460224	138.8051648	539.3134924	551.4537643	318.3222555	318.3222555
